trail_name,length,difficulty,trail_link,city,popularity,rating,local_club,local_club_site,land_manager,land_manager_site,tot_climb,tot_descent,ave_grade,max_grade,max_elevation,min_elevation,dog_policy,e_bike_policy
Field of Dreams,"5.7
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7042165/field-of-dreams,"Vernal, UT",#455,3.8 (4),,,,,388',390',3%,12%,"5,499'","5,229'",Unknown,Unknown
Jenni's Trail,"3.0
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/3725637/jennis-trail,"Park City, UT",#456,3.6 (7),,,,,195',864',7%,15%,"8,202'","7,479'",Unknown,Unknown
Left Fork Maple Canyon Trail #8006,"1.2
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7048171/left-fork-maple-canyon-trail-8006,"Mapleton, UT",#457,3.8 (4),"USFS - Uinta, Wasatch & Cache National Forests Office",http://www.fs.usda.gov/uwcnf,,,406',1',6%,17%,"5,446'","5,041'",Off-leash,Unknown
Keystone Trail,"1.5
    mi",EASY/INTERMEDIATE,https://www.mtbproject.com/trail/3735080/keystone-trail,"Park City, UT",#458,3.8 (4),Mountain Trails Foundation,https://www.mtbproject.com/club/630847/mountain-trails-foundation,,,118',59',2%,20%,"9,022'","8,938'",Unknown,Unknown
Sink Hollow,"4.5
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7001140/sink-hollow,"Lewiston, UT",#459,3.8 (4),"USFS - Uinta, Wasatch & Cache National Forests Office",http://www.fs.usda.gov/uwcnf,,,"1,256'",18',5%,17%,"8,313'","7,061'",Unknown,Unknown
Iron Man,"3.0
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7001711/iron-man,"Snyderville, UT",#460,3.8 (4),Mountain Trails Foundation,https://www.mtbproject.com/club/630847/mountain-trails-foundation,,,535',271',5%,9%,"8,538'","8,007'",Unknown,Unknown
Boulder,"2.0
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7001742/boulder,"Park City, UT",#461,3.8 (4),Mountain Trails Foundation,https://www.mtbproject.com/club/630847/mountain-trails-foundation,,,2',608',6%,9%,"9,034'","8,428'",Unknown,Unknown
Overlook,"6.9
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/6406301/overlook,"Moab, UT",#462,3.8 (4),,,,,305',498',2%,9%,"5,063'","4,768'",Leashed,Unknown
Foothill Bike Trail,"0.9
    mi",EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7013475/foothill-bike-trail,"South Ogden, UT",#463,3.8 (4),,,,,6',201',4%,23%,"4,966'","4,765'",Unknown,Unknown
Upper Serenity,"1.2
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7004994/upper-serenity,"Alta, UT",#464,3.8 (4),,,,,367',12',6%,16%,"8,556'","8,201'",No Dogs,Unknown
City Creek-Owens Connector Trail,"0.5
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7002429/city-creek-owens-connector-trail,"Saint George, UT",#465,3.8 (4),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,BLM Utah - St. George Field Office,http://www.blm.gov/ut/st/en/fo/st__george.html,29',57',4%,17%,"3,305'","3,248'",Unknown,Unknown
Outlaw,"0.6
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7013545/outlaw,"Enoch, UT",#466,3.8 (4),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,BLM Utah - Cedar City,http://www.blm.gov/ut/st/en/fo/cedar_city.html,53',5',2%,4%,"5,895'","5,843'",Unknown,Unknown
Bonneville Shoreline Trail (BST) - Zoo to Red Butte Garden,"2.0
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7020101/bonneville-shoreline-trail-bst-zoo-to-red-butte-garden,"East Millcreek, UT",#467,3.2 (14),Bonneville Shoreline Trail,https://www.mtbproject.com/club/834828/bonneville-shoreline-trail,Bonneville Shoreline Trail Coalition,http://www.bonnevilleshorelinetrail.org/,257',210',4%,12%,"5,171'","4,942'",Off-leash,Unknown
Eagle Crest Trail,"2.3
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7031911/eagle-crest-trail,"Draper, UT",#468,3.6 (7),,,,,161',366',4%,12%,"6,225'","5,958'",Leashed,Allowed
Broken Mesa Rim Trail,"4.6
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7001962/broken-mesa-rim-trail,"Saint George, UT",#469,3.6 (7),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,BLM Utah - St. George Field Office,http://www.blm.gov/ut/st/en/fo/st__george.html,451',808',5%,14%,"5,106'","4,311'",Unknown,Unknown
Midway,"0.8
    mi",EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7021418/midway,"Moab, UT",#470,3.6 (7),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,34',90',3%,9%,"4,471'","4,382'",Leashed,Not Allowed
Beck Hill,"1.5
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7024165/beck-hill,"Santa Clara, UT",#471,3.2 (14),Utah State Parks - Snow Canyon,https://stateparks.utah.gov/parks/snow-canyon/,,,297',20',4%,11%,"3,346'","3,050'",Leashed,Unknown
Ogden BST - Waterfall Canyon to Beus Canyon,"2.7
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/4158386/ogden-bst-waterfall-canyon-to-beus-canyon,"South Ogden, UT",#472,3.5 (8),"USFS - Uinta, Wasatch & Cache National Forests Office",http://www.fs.usda.gov/uwcnf,,,647',404',7%,24%,"5,691'","5,163'",Unknown,Unknown
Carousel,"1.0
    mi",EASY,https://www.mtbproject.com/trail/7021352/carousel,"Moab, UT",#473,3.5 (8),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,65',64',2%,6%,"4,426'","4,366'",Leashed,Not Allowed
Stealth Trail,"3.6
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/4180138/stealth-trail,"Snyderville, UT",#474,3.4 (9),Basin Recreation,http://basinrecreation.org/,,,334',555',5%,16%,"6,888'","6,354'",Unknown,Not Allowed
Big Hole Loop,"3.5
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7013547/big-hole-loop,"Enoch, UT",#475,3.5 (8),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,BLM Utah - Cedar City,http://www.blm.gov/ut/st/en/fo/cedar_city.html,347',348',4%,14%,"6,122'","5,853'",Unknown,Unknown
Bonneville Shoreline Trail - Ensign Peak,"3.0
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/659979/bonneville-shoreline-trail-ensign-peak,"Salt Lake City, UT",#476,3.3 (12),Bonneville Shoreline Trail,https://www.mtbproject.com/club/834828/bonneville-shoreline-trail,,,142',959',7%,19%,"5,604'","4,685'",Off-leash,Unknown
Porcupine,"4.6
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/1111342/porcupine,"South Ogden, UT",#477,3.6 (5),,,,,"1,359'",17',6%,16%,"8,383'","7,041'",Unknown,Unknown
Catherine's Pass Trail,"1.5
    mi",DIFFICULT,https://www.mtbproject.com/trail/7026019/catherines-pass-trail,"Alta, UT",#478,3.6 (5),Alta Ski Area,http://www.alta.com/,,,831',0',11%,25%,"10,213'","9,381'",No Dogs,Unknown
John's 99,"1.8
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7001728/johns-99,"Park City, UT",#479,3.6 (5),Mountain Trails Foundation,https://www.mtbproject.com/club/630847/mountain-trails-foundation,,,102',242',4%,8%,"8,301'","8,085'",Unknown,Unknown
More Hoes,"4.1
    mi",DIFFICULT,https://www.mtbproject.com/trail/7002782/more-hoes,"Maeser, UT",#480,3.6 (5),BLM Utah - Vernal Office,http://www.blm.gov/ut/st/en/fo/vernal.html,,,467',468',4%,23%,"5,369'","5,059'",Off-leash,Unknown
Rowdy,"0.5
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7016146/rowdy,"Moab, UT",#481,3.6 (5),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,24',19',1%,3%,"5,848'","5,824'",Leashed,Not Allowed
Miners Loop,"1.9
    mi",DIFFICULT,https://www.mtbproject.com/trail/7025687/miners-loop,"Moab, UT",#482,3.6 (5),,,,,270',261',5%,16%,"4,927'","4,691'",Leashed,Not Allowed
Lower Serenity,"0.5
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7004998/lower-serenity,"Alta, UT",#483,3.6 (5),,,,,64',127',7%,18%,"8,196'","8,068'",No Dogs,Unknown
Paper Airplane,"1.8
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7017443/paper-airplane,"Wolf Creek, UT",#484,3.5 (6),Powder Mountain Ski Resort,http://www.powdermountain.com/,,,217',177',4%,14%,"8,669'","8,453'",Unknown,Unknown
Highway 128 Paved Path,"2.5
    mi",EASY,https://www.mtbproject.com/trail/7008417/highway-128-paved-path,"Moab, UT",#485,3.7 (3),,,,,52',27',1%,2%,"3,996'","3,969'",Leashed,Not Allowed
Ogden Canyon Overlook Trail,"2.1
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7027500/ogden-canyon-overlook-trail,"Ogden, UT",#486,3.7 (3),"USFS - Uinta, Wasatch & Cache National Forests Office",http://www.fs.usda.gov/uwcnf,,,883',0',8%,19%,"7,136'","6,253'",Leashed,Unknown
South Draw Road,"5.7
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7022105/south-draw-road,"Loa, UT",#487,3.7 (3),NPS - Capitol Reef National Park,https://www.nps.gov/care/index.htm,,,249',980',4%,29%,"6,903'","5,923'",Unknown,Unknown
Dry Canyon Trail #049,"5.3
    mi",DIFFICULT,https://www.mtbproject.com/trail/7020994/dry-canyon-trail-049,"Lindon, UT",#488,3.7 (3),,,,,"3,066'",991',15%,35%,"8,325'","5,492'",Unknown,Unknown
Red Butte North Trail,"0.9
    mi",DIFFICULT,https://www.mtbproject.com/trail/7026725/red-butte-north-trail,"Salt Lake City, UT",#489,3.7 (3),"USFS - Uinta, Wasatch & Cache National Forests Office",http://www.fs.usda.gov/uwcnf,,,230',174',9%,25%,"5,357'","5,127'",Leashed,Unknown
Rattler,"1.2
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7000518/rattler,"Draper, UT",#490,3.3 (11),,,,,311',12',5%,9%,"5,420'","5,117'",No Dogs,Allowed
Roadrunner,"0.6
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7032756/roadrunner,"Kanab, UT",#491,3.7 (3),Kanab Cycling Club,https://www.mtbproject.com/club/7000492/kanab-cycling-club,City of Kanab,https://kanab.utah.gov/,14',48',2%,9%,"5,109'","5,063'",Unknown,Unknown
Historic Babylon Trail,"2.8
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7002426/historic-babylon-trail,"Leeds, UT",#492,3.7 (3),,,,,769',0',5%,13%,"3,709'","2,940'",Unknown,Unknown
Waterfall Canyon Trail,"1.2
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7015510/waterfall-canyon-trail,"South Ogden, UT",#493,3.7 (3),Ogden Trails Network,http://www.ogdencity.com/en/recreation/high_adventure_rec/ogden_trails.aspx,,,5',"1,079'",17%,33%,"5,845'","4,771'",Leashed,Unknown
Little Valley Loop Trail,"0.7
    mi",EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7043559/little-valley-loop-trail,"Draper, UT",#494,3.7 (3),"City of Draper, UT - Parks and Trails",http://www.draper.ut.us/index.aspx?nid=116,,,102',53',4%,11%,"5,544'","5,447'",Leashed,Unknown
Arch Loop,"2.7
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/6409337/arch-loop,"Moab, UT",#495,3.7 (3),,,,,295',177',3%,14%,"4,934'","4,644'",Leashed,Unknown
Mojave,"0.9
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/3725735/mojave,"Park City, UT",#496,3.7 (3),,,,,0',355',7%,15%,"8,729'","8,374'",Unknown,Unknown
High Rollas,"4.5
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7038731/high-rollas,"Maeser, UT",#497,3.7 (3),NUMB (Northeastern Utah Mountain Bikers),https://www.mtbproject.com/club/7000253/numb-northeastern-utah-mountain-bikers,BLM Utah - Vernal Office,http://www.blm.gov/ut/st/en/fo/vernal.html,414',179',2%,19%,"5,440'","5,180'",Off-leash,Unknown
Potato Hill Trail,"0.6
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7004922/potato-hill-trail,"Draper, UT",#498,3.5 (6),"City of Draper, UT - Parks and Trails",http://www.draper.ut.us/index.aspx?nid=116,,,178',11',6%,12%,"5,520'","5,343'",Leashed,Allowed
Fazzari,"1.4
    mi",DIFFICULT,https://www.mtbproject.com/trail/7017395/fazzari,"Liberty, UT",#499,3.7 (3),,,,,0',910',12%,32%,"6,308'","5,397'",Unknown,Unknown
Rojo Trail,"3.2
    mi",DIFFICULT,https://www.mtbproject.com/trail/7019709/rojo-trail,"Maeser, UT",#500,3.7 (3),NUMB (Northeastern Utah Mountain Bikers),https://www.mtbproject.com/club/7000253/numb-northeastern-utah-mountain-bikers,BLM Utah - Vernal Office,http://www.blm.gov/ut/st/en/fo/vernal.html,90',809',5%,19%,"6,848'","6,127'",Unknown,Unknown
Jackalope,"7.0
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7002779/jackalope,"Maeser, UT",#501,3.7 (3),BLM Utah - Vernal Office,http://www.blm.gov/ut/st/en/fo/vernal.html,,,985',991',5%,24%,"6,259'","5,315'",Unknown,Unknown
Lakeshore Trail Section 2,"3.4
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7014739/lakeshore-trail-section-2,"Loa, UT",#502,3.7 (3),USFS - Fishlake National Forest Office,http://www.fs.usda.gov/fishlake,,,325',301',4%,10%,"9,133'","8,867'",Leashed,Unknown
Entrance Intermediate Trail,"2.4
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7020861/entrance-intermediate-trail,"Kamas, UT",#503,3.4 (8),South Summit Trails Foundation,https://www.mtbproject.com/club/7000310/south-summit-trails-foundation,High Star Ranch,http://www.highstarranch.com/,486',402',7%,22%,"6,905'","6,419'",Off-leash,Unknown
Solamere Connector,"1.1
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7001722/solamere-connector,"Park City, UT",#504,3.7 (3),Mountain Trails Foundation,https://www.mtbproject.com/club/630847/mountain-trails-foundation,Park City Municipal,http://parkcity.org/,0',400',7%,11%,"7,528'","7,128'",Off-leash,Unknown
Ghost Flats #7,"3.4
    mi",DIFFICULT,https://www.mtbproject.com/trail/7036644/ghost-flats-7,"Cedar City, UT",#505,3.5 (6),,,,,"1,756'",70',10%,33%,"7,694'","6,007'",Unknown,Unknown
Moab Rim Trail,"3.5
    mi",DIFFICULT,https://www.mtbproject.com/trail/4621925/moab-rim-trail,"Moab, UT",#506,3.1 (14),Moab Trails Alliance,https://www.mtbproject.com/club/325553/moab-trails-alliance,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,"1,104'",214',7%,26%,"4,893'","4,003'",Leashed,Unknown
Pair,"0.8
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/5083559/pair,"Moab, UT",#507,3.5 (6),Dead Horse Point State Park,http://www.stateparks.utah.gov/parks/dead-horse,,,67',57',3%,6%,"5,921'","5,855'",No Dogs,Allowed
Desert View,"1.7
    mi",EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7023908/desert-view,"Ferron, UT",#508,3.4 (7),Utah State Parks,http://stateparks.utah.gov/,,,106',107',2%,7%,"5,217'","5,114'",No Dogs,Allowed
Mill Canyon #40,"3.8
    mi",DIFFICULT,https://www.mtbproject.com/trail/7015740/mill-canyon-40,"Alta, UT",#509,3.4 (7),,,,,"1,905'",24',10%,51%,"8,337'","6,446'",Unknown,Allowed
Agate Loop,"1.7
    mi",EASY,https://www.mtbproject.com/trail/177527/agate-loop,"Moab, UT",#510,3.3 (9),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,85',85',2%,6%,"4,766'","4,716'",Leashed,Unknown
Baby Steps Singletrack Loop 1,"1.2
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/181366/baby-steps-singletrack-loop-1,"Moab, UT",#511,3.4 (8),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,141',148',5%,10%,"5,046'","4,926'",Leashed,Unknown
Cross Canyon,"1.3
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/194966/cross-canyon,"Moab, UT",#512,3.2 (12),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,137',40',3%,10%,"4,632'","4,508'",Leashed,Not Allowed
Jacob's (Jackson's) Ladder,"0.4
    mi",VERY DIFFICULT,https://www.mtbproject.com/trail/4601620/jacobs-jacksons-ladder,"Moab, UT",#513,3.5 (4),,,,,444',2',19%,60%,"4,551'","4,107'",Leashed,Unknown
Notch,"0.5
    mi",DIFFICULT,https://www.mtbproject.com/trail/158187/notch,"Moab, UT",#514,3.2 (9),,,,,52',128',7%,39%,"7,235'","7,106'",Leashed,Not Allowed
White Trail,"3.2
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7002416/white-trail,"Hurricane, UT",#515,3.2 (10),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,BLM Utah - St. George Field Office,http://www.blm.gov/ut/st/en/fo/st__george.html,272',79',2%,8%,"5,380'","5,163'",Unknown,Allowed
Sand Flats Road,"16.0
    mi",EASY,https://www.mtbproject.com/trail/7024584/sand-flats-road,"Moab, UT",#516,3.5 (2),,,,,"3,701'",87',4%,16%,"7,790'","4,177'",Leashed,Allowed
Riverview,"5.4
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7015309/riverview,"Heber, UT",#517,3.5 (4),,,,,526',344',3%,11%,"6,360'","6,083'",Unknown,Unknown
Shay Ridge Trail (162),"5.1
    mi",DIFFICULT,https://www.mtbproject.com/trail/7019096/shay-ridge-trail-162,"Monticello, UT",#518,3.5 (4),,,,,511',"2,310'",10%,25%,"10,843'","8,533'",Leashed,Not Allowed
Sidewinder,"0.6
    mi",EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7042635/sidewinder,"Herriman, UT",#519,3.5 (4),"Herriman City, UT - Trails",https://www.herriman.org/community/trails/,,,19',61',3%,5%,"5,421'","5,360'",Unknown,Unknown
Leatham Hollow Trail,"4.1
    mi",DIFFICULT,https://www.mtbproject.com/trail/7012305/leatham-hollow-trail,"Hyrum, UT",#520,3.5 (4),"USFS - Uinta, Wasatch & Cache National Forests Office",http://www.fs.usda.gov/uwcnf,,,"2,190'",34',10%,23%,"7,365'","5,210'",Unknown,Unknown
Luke's Trail,"3.0
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7008703/lukes-trail,"Carbonville, UT",#521,3.5 (4),BLM Utah-Price Field Office,http://www.blm.gov/ut/st/en/fo/price.html,,,314',18',2%,23%,"6,280'","5,984'",Unknown,Unknown
Red Reef East,"0.7
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7037228/red-reef-east,"Leeds, UT",#522,3.5 (4),,,,,117',17',3%,14%,"3,325'","3,210'",Off-leash,Unknown
Maple Hollow Trailhead Access from Ann's Trail,"1.1
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7031909/maple-hollow-trailhead-access-from-anns-trail,"Draper, UT",#523,3.5 (4),,,,,379',0',6%,11%,"6,162'","5,783'",Leashed,Unknown
Dike Trail,"1.5
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7018830/dike-trail,"Parowan, UT",#524,3.5 (4),USFS - Dixie National Forest Office,http://www.fs.usda.gov/dixie,,,0',526',7%,18%,"9,665'","9,139'",Unknown,Unknown
City Creek Trail,"2.7
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7002427/city-creek-trail,"Saint George, UT",#525,3.2 (9),,,,,275',348',4%,14%,"3,270'","3,056'",Unknown,Unknown
Perimeter Trail,"15.9
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7037597/perimeter-trail,"Francis, UT",#526,3.3 (7),,,,,"1,211'","1,104'",3%,14%,"6,385'","6,172'",Leashed,Not Allowed
Terry's Tunnel,"0.9
    mi",VERY DIFFICULT,https://www.mtbproject.com/trail/623556/terrys-tunnel,"Moab, UT",#527,3.4 (5),State of Utah School and Institutional Trust Lands Administration,https://trustlands.utah.gov/,,,62',167',5%,10%,"4,630'","4,476'",Leashed,Allowed
Iron Bill,"2.0
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7016895/iron-bill,"Snyderville, UT",#528,3.1 (11),Mountain Trails Foundation,https://www.mtbproject.com/club/630847/mountain-trails-foundation,Utah Olympic Legacy Foundation,http://utaholympiclegacy.org/,561',62',6%,22%,"7,256'","6,745'",Unknown,Unknown
Gold Bar,"2.3
    mi",DIFFICULT,https://www.mtbproject.com/trail/7014051/gold-bar,"Moab, UT",#529,3.3 (6),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,459',137',5%,12%,"5,049'","4,621'",Leashed,Unknown
BST: Deer Fence,"2.9
    mi",EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7000655/bst-deer-fence,"River Heights, UT",#530,3.3 (7),,,,,228',222',3%,8%,"5,257'","5,047'",Unknown,Unknown
River Trail,"2.9
    mi",EASY,https://www.mtbproject.com/trail/7001118/river-trail,"North Logan, UT",#531,3.3 (7),"USFS - Uinta, Wasatch & Cache National Forests Office",http://www.fs.usda.gov/uwcnf,,,353',71',3%,10%,"5,044'","4,753'",Unknown,Unknown
Bonneville Shoreline,"2.0
    mi",EASY,https://www.mtbproject.com/trail/7000654/bonneville-shoreline,"North Logan, UT",#532,3.3 (6),Bonneville Shoreline Trail,https://www.mtbproject.com/club/834828/bonneville-shoreline-trail,,,417',120',5%,15%,"5,063'","4,706'",Unknown,Unknown
Wrangler,"0.7
    mi",EASY,https://www.mtbproject.com/trail/7016145/wrangler,"Moab, UT",#533,3.3 (6),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,35',36',2%,7%,"5,837'","5,806'",Leashed,Not Allowed
Topspin,"1.3
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7021376/topspin,"Moab, UT",#534,3.3 (7),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,98',98',3%,11%,"4,480'","4,414'",Leashed,Not Allowed
Cobblestone Loop,"2.5
    mi",EASY/INTERMEDIATE,https://www.mtbproject.com/trail/4176903/cobblestone-loop,"Summit Park, UT",#535,3.3 (6),Basin Recreation,http://basinrecreation.org/,,,475',232',5%,13%,"6,940'","6,505'",Unknown,Unknown
Lower Krüzer,"0.8
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7004996/lower-kruzer,"Alta, UT",#536,3.3 (7),,,,,35',382',10%,18%,"8,589'","8,237'",No Dogs,Unknown
Cove Wash Access Trail,"1.0
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7036710/cove-wash-access-trail,"Santa Clara, UT",#537,3.3 (6),,,,,319',5',6%,17%,"3,121'","2,807'",Unknown,Unknown
Tipple,"1.2
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7035463/tipple,"Leeds, UT",#538,3.3 (6),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,Red Cliffs Desert Reserve,http://www.redcliffsdesertreserve.com/,143',155',5%,17%,"3,387'","3,238'",Leashed,Unknown
Sidestep (North),"0.7
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7025696/sidestep-north,"Moab, UT",#539,3.3 (7),,,,,191',15',6%,11%,"4,979'","4,796'",Leashed,Unknown
Lathrop Canyon,"4.0
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4654509/lathrop-canyon,"Moab, UT",#540,3.5 (2),,,,,151',638',4%,26%,"4,402'","3,915'",No Dogs,Unknown
Skyline NRT #225,"12.4
    mi",DIFFICULT,https://www.mtbproject.com/trail/7029278/skyline-nrt-225,"Junction, UT",#541,3.5 (2),USFS - Fishlake National Forest Office,http://www.fs.usda.gov/fishlake,,,"2,363'","2,031'",7%,25%,"11,065'","10,098'",Off-leash,Unknown
Juniper Flow,"0.7
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7038014/juniper-flow,"Herriman, UT",#542,3.5 (2),,,,,1',166',5%,8%,"5,117'","4,951'",Unknown,Unknown
Blackhawk Trail #084,"14.6
    mi",DIFFICULT,https://www.mtbproject.com/trail/7006476/blackhawk-trail-084,"Mona, UT",#543,3.5 (2),"USFS - Uinta, Wasatch & Cache National Forests Office",http://www.fs.usda.gov/uwcnf,,,"3,365'","2,607'",8%,22%,"8,420'","6,952'",Unknown,Unknown
Coyote Hollow Road (FSR #113),"2.1
    mi",EASY,https://www.mtbproject.com/trail/7022714/coyote-hollow-road-fsr-113,"Panguitch, UT",#544,3.5 (2),,,,,250',0',2%,6%,"8,057'","7,806'",Unknown,Unknown
Doctor's Dozen,"5.0
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7017604/doctors-dozen,"Wolf Creek, UT",#545,3.5 (2),Powder Mountain Ski Resort,http://www.powdermountain.com/,,,517',814',5%,15%,"8,805'","8,275'",Unknown,Unknown
Jimmy Reed Creek - Bosman #064,"7.7
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7029273/jimmy-reed-creek-bosman-064,"Beaver, UT",#546,3.5 (2),USFS - Fishlake National Forest Office,http://www.fs.usda.gov/fishlake,,,"1,294'","1,152'",6%,21%,"10,037'","9,332'",Off-leash,Unknown
White Pine Lake,"3.5
    mi",VERY DIFFICULT,https://www.mtbproject.com/trail/7000663/white-pine-lake,"Richmond, UT",#547,3.5 (2),,,,,767',466',7%,21%,"8,830'","8,072'",Unknown,Unknown
Lower Riverview Trail,"3.4
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7003487/lower-riverview-trail,"Heber, UT",#548,3.5 (2),,,,,181',195',2%,6%,"5,973'","5,866'",Off-leash,Unknown
Salamander Flat Trail #150,"1.9
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7007016/salamander-flat-trail-150,"Cedar Hills, UT",#549,3.5 (2),"USFS - Uinta, Wasatch & Cache National Forests Office",http://www.fs.usda.gov/uwcnf,,,306',131',4%,17%,"7,594'","7,364'",Unknown,Allowed
Upper Albion Meadows Trail,"1.5
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7026022/upper-albion-meadows-trail,"Alta, UT",#550,3.5 (2),Alta Ski Area,http://www.alta.com/,,,729',0',9%,19%,"9,401'","8,673'",No Dogs,Unknown
