trail_name,length,difficulty,longitude,latitude,trail_link,city,popularity,rating,local_club,local_club_site,land_manager,land_manager_site,tot_climb,tot_descent,ave_grade,max_grade,max_elevation,min_elevation,dog_policy,e_bike_policy
Antelope Wash OHV Trail 7192,"4.8
    mi",INTERMEDIATE,35.07597,-113.81607,https://www.mtbproject.com/trail/7014869/antelope-wash-ohv-trail-7192,"Kingman, AZ",#493,3.5 (2),Colorado River Area Trail Alliance,https://www.mtbproject.com/club/4044379/colorado-river-area-trail-alliance,BLM Arizona - Kingman Field Office,http://www.blm.gov/az/st/en/fo/kingman_field_office.html,"1,267'",36',5%,19%,"6,055'","4,825'",Unknown,Allowed
High Ridge,"1.6
    mi",INTERMEDIATE/DIFFICULT,33.501871,-111.637835,https://www.mtbproject.com/trail/7057007/high-ridge,"Apache Junction, AZ",#494,3.5 (2),Hawes Trail Alliance,https://www.mtbproject.com/club/7000810/hawes-trail-alliance,,,41',512',6%,18%,"2,634'","2,141'",Unknown,Unknown
Portal Trail,"1.0
    mi",INTERMEDIATE,32.192326,-111.025346,https://www.mtbproject.com/trail/7056642/portal-trail,"Drexel Heights, AZ",#495,3.5 (2),Pima County Parks and Recreation,http://webcms.pima.gov/cms/One.aspx?portalId=169&pageId=41889,,,32',40',1%,5%,"2,536'","2,508'",Leashed,Unknown
Hole in the Wall Trail,"0.7
    mi",INTERMEDIATE/DIFFICULT,34.621288,-112.426098,https://www.mtbproject.com/trail/7043189/hole-in-the-wall-trail,"Prescott Valley, AZ",#496,3.5 (2),,,,,166',5',5%,10%,"5,185'","5,024'",Leashed,Unknown
OHV Road #09202Y,"3.7
    mi",EASY/INTERMEDIATE,34.627201,-111.763177,https://www.mtbproject.com/trail/7044432/ohv-road-09202y,"Lake Montezuma, AZ",#497,3.5 (2),,,,,262',70',2%,5%,"3,868'","3,673'",Unknown,Unknown
Scenic Loop,"5.4
    mi",EASY,32.339293,-112.849474,https://www.mtbproject.com/trail/7024698/scenic-loop,"Ajo, AZ",#498,3.5 (2),BLM Arizona - Hassayampa Field Office,http://www.blm.gov/az/st/en/fo/hassayampa_field_office.html,,,287',179',2%,3%,"2,093'","1,807'",Off-leash,Unknown
Juniper Gate,"1.2
    mi",INTERMEDIATE,34.575198,-112.534534,https://www.mtbproject.com/trail/7041139/juniper-gate,"Prescott, AZ",#499,3.5 (2),Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,234',10',4%,7%,"5,814'","5,591'",Leashed,Unknown
Loop Trail,"1.6
    mi",INTERMEDIATE/DIFFICULT,32.507865,-111.041534,https://www.mtbproject.com/trail/5505319/loop-trail,"Catalina, AZ",#500,3.5 (2),"Pima County - Natural Resources, Parks and Recreation",http://webcms.pima.gov/government/natural_resources_parks_and_recreation/,,,478',100',7%,19%,"4,245'","3,857'",Unknown,Unknown
Ringtail Trail,"0.6
    mi",INTERMEDIATE,32.23754,-111.145963,https://www.mtbproject.com/trail/7000861/ringtail-trail,"Tucson Estates, AZ",#501,3.5 (2),Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,"Pima County - Natural Resources, Parks and Recreation",http://webcms.pima.gov/government/natural_resources_parks_and_recreation/,0',107',3%,6%,"2,795'","2,688'",Unknown,Unknown
Valentine Well,"5.5
    mi",INTERMEDIATE,32.331202,-112.892072,https://www.mtbproject.com/trail/7025590/valentine-well,"Ajo, AZ",#502,3.5 (2),BLM Arizona - Hassayampa Field Office,http://www.blm.gov/az/st/en/fo/hassayampa_field_office.html,,,11',236',1%,3%,"1,936'","1,711'",Leashed,Unknown
Middle Teacup,"0.3
    mi",DIFFICULT,34.883459,-111.796065,https://www.mtbproject.com/trail/7038657/middle-teacup,"West Sedona, AZ",#503,3.5 (2),,,,,0',99',6%,14%,"4,768'","4,669'",Unknown,Unknown
Creosote Trail,"0.7
    mi",EASY,32.193877,-111.166382,https://www.mtbproject.com/trail/7000587/creosote-trail,"Tucson Estates, AZ",#504,3.5 (2),Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,"Pima County - Natural Resources, Parks and Recreation",http://webcms.pima.gov/government/natural_resources_parks_and_recreation/,29',0',1%,1%,"2,459'","2,430'",Unknown,Unknown
Mallard Trail,"0.3
    mi",EASY/INTERMEDIATE,34.635428,-111.763231,https://www.mtbproject.com/trail/7044431/mallard-trail,"Lake Montezuma, AZ",#505,3.5 (2),,,,,3',43',3%,8%,"3,742'","3,700'",Unknown,Unknown
Upper Chain Breaker,"1.0
    mi",INTERMEDIATE,32.339695,-112.908988,https://www.mtbproject.com/trail/7024490/upper-chain-breaker,"Ajo, AZ",#506,3.5 (2),BLM Arizona - Yuma Field Office,http://www.blm.gov/az/st/en/prog/recreation/hiking/betty_kitch.html,,,43',64',2%,5%,"2,032'","1,974'",Leashed,Unknown
Sumpin' Specialized,"0.2
    mi",INTERMEDIATE/DIFFICULT,32.350966,-112.897274,https://www.mtbproject.com/trail/7022191/sumpin-specialized,"Ajo, AZ",#507,3.5 (2),BLM Arizona - Hassayampa Field Office,http://www.blm.gov/az/st/en/fo/hassayampa_field_office.html,,,95',0',8%,12%,"2,137'","2,043'",Leashed,Unknown
Lower Chain Breaker Overlook,"0.5
    mi",EASY/INTERMEDIATE,32.328576,-112.914593,https://www.mtbproject.com/trail/7057802/lower-chain-breaker-overlook,"Ajo, AZ",#508,3.5 (2),,,,,52',14',3%,5%,"1,982'","1,931'",Unknown,Unknown
Rocky Ridge,"2.8
    mi",DIFFICULT,35.244665,-111.661308,https://www.mtbproject.com/trail/836687/rocky-ridge,"Flagstaff, AZ",#509,2.9 (14),Flagstaff Biking Organization,https://www.mtbproject.com/club/910893/flagstaff-biking-organization,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,494',101',4%,12%,"7,587'","7,191'",Unknown,Unknown
Green Mountain,"3.9
    mi",VERY DIFFICULT,32.397951,-110.689286,https://www.mtbproject.com/trail/304609/green-mountain,"Tanque Verde, AZ",#510,2.8 (15),Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,USFS - Coronado National Forest Office,http://www.fs.usda.gov/coronado,431',"1,817'",11%,39%,"7,333'","5,946'",Unknown,Unknown
AZT - Passage 37 - Grand Canyon - South Rim,"22.9
    mi",EASY/INTERMEDIATE,35.957478,-111.955336,https://www.mtbproject.com/trail/7012217/azt-passage-37-grand-canyon-south-rim,"Grand Canyon, AZ",#511,3.3 (3),USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,,,852',"1,182'",2%,12%,"7,531'","6,608'",Unknown,Unknown
Wild Mustang Trail,"3.2
    mi",DIFFICULT,32.484446,-111.098047,https://www.mtbproject.com/trail/7046622/wild-mustang-trail,"Tortolita, AZ",#512,3.3 (3),,,,,699',462',7%,20%,"4,064'","3,384'",Unknown,Unknown
Mystic Trail,"2.1
    mi",INTERMEDIATE,34.824361,-111.775475,https://www.mtbproject.com/trail/4915743/mystic-trail,"Village of Oak Creek (Big Park), AZ",#513,2.7 (16),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,126',173',3%,8%,"4,366'","4,230'",Unknown,Unknown
Rupp Trail,"1.2
    mi",INTERMEDIATE,34.881426,-111.853889,https://www.mtbproject.com/trail/4943218/rupp-trail,"West Sedona, AZ",#514,3.1 (7),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,62',204',4%,10%,"4,539'","4,339'",Unknown,Unknown
Desert Tortoise,"1.1
    mi",EASY/INTERMEDIATE,33.743215,-112.094108,https://www.mtbproject.com/trail/4903892/desert-tortoise,"Anthem, AZ",#515,3.1 (7),City of Phoenix - Trails and Desert Preserves,http://phoenix.gov/recreation/rec/parks/preserves/index.html,,,94',50',3%,6%,"1,769'","1,676'",Unknown,Unknown
Andante,"0.6
    mi",INTERMEDIATE,34.878898,-111.80044,https://www.mtbproject.com/trail/4968902/andante,"West Sedona, AZ",#516,3.3 (3),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,39',46',3%,6%,"4,678'","4,642'",Unknown,Unknown
Ridge Trail (Moderate),"3.1
    mi",INTERMEDIATE,32.806386,-111.702748,https://www.mtbproject.com/trail/7004106/ridge-trail-moderate,"Casa Grande, AZ",#517,3.3 (3),Casa Grande Parks & Recreation,http://www.casagrandeaz.gov/rec/parks/,,,188',427',4%,14%,"1,764'","1,477'",Unknown,Unknown
Ocotillo Hill,"0.8
    mi",INTERMEDIATE,32.266052,-111.091381,https://www.mtbproject.com/trail/7010987/ocotillo-hill,"Tucson Estates, AZ",#518,3.3 (3),Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,"Pima County - Natural Resources, Parks and Recreation",http://webcms.pima.gov/government/natural_resources_parks_and_recreation/,26',54',2%,6%,"2,631'","2,580'",Unknown,Unknown
Mordor,"2.5
    mi",INTERMEDIATE/DIFFICULT,32.347459,-112.901747,https://www.mtbproject.com/trail/7022188/mordor,"Ajo, AZ",#519,3.3 (3),BLM Arizona - Hassayampa Field Office,http://www.blm.gov/az/st/en/fo/hassayampa_field_office.html,,,12',190',2%,4%,"2,019'","1,842'",Leashed,Unknown
NAFTA,"3.1
    mi",INTERMEDIATE,32.354054,-112.922489,https://www.mtbproject.com/trail/7024492/nafta,"Ajo, AZ",#520,3.3 (3),BLM Arizona - Hassayampa Field Office,http://www.blm.gov/az/st/en/fo/hassayampa_field_office.html,,,103',149',2%,4%,"1,977'","1,843'",Leashed,Unknown
Old Faithful,"2.7
    mi",INTERMEDIATE,32.34579,-112.894857,https://www.mtbproject.com/trail/7022187/old-faithful,"Ajo, AZ",#521,3.3 (3),BLM Arizona - Hassayampa Field Office,http://www.blm.gov/az/st/en/fo/hassayampa_field_office.html,,,109',133',2%,4%,"2,046'","1,956'",Leashed,Unknown
Coldwater,"3.0
    mi",EASY/INTERMEDIATE,33.370316,-112.368651,https://www.mtbproject.com/trail/7002878/coldwater,"Goodyear, AZ",#522,3.3 (3),Maricopa County Parks,http://www.maricopa.gov/parks/,,,339',101',3%,8%,"1,321'",988',Unknown,Allowed
Wren Arena Red Loop Trail,"5.2
    mi",INTERMEDIATE,31.563373,-110.391216,https://www.mtbproject.com/trail/7013549/wren-arena-red-loop-trail,"Sierra Vista, AZ",#523,2.9 (11),,,,,552',554',4%,14%,"5,264'","4,922'",Leashed,Unknown
Cougar Trail,"3.1
    mi",DIFFICULT,33.382551,-111.423156,https://www.mtbproject.com/trail/7000860/cougar-trail,"Tucson Estates, AZ",#524,3.2 (5),Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,"Pima County - Natural Resources, Parks and Recreation",http://webcms.pima.gov/government/natural_resources_parks_and_recreation/,180',339',3%,10%,"2,913'","2,680'",Unknown,Unknown
The Spine,"0.6
    mi",INTERMEDIATE,32.273048,-111.094543,https://www.mtbproject.com/trail/7010988/the-spine,"Tucson Estates, AZ",#525,3.2 (5),Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,"Pima County - Natural Resources, Parks and Recreation",http://webcms.pima.gov/government/natural_resources_parks_and_recreation/,8',77',3%,6%,"2,669'","2,592'",Unknown,Unknown
Loma Trail,"0.9
    mi",INTERMEDIATE,33.439361,-111.932465,https://www.mtbproject.com/trail/7035149/loma-trail,"Tempe Junction, AZ",#526,3.3 (4),,,,,82',93',4%,10%,"1,232'","1,173'",Unknown,Unknown
Upper Ranch Trail,"2.2
    mi",INTERMEDIATE,33.761701,-111.842256,https://www.mtbproject.com/trail/7009194/upper-ranch-trail,"Carefree, AZ",#527,3.2 (5),City of Scottsdale,http://www.scottsdaleaz.gov/preserve,,,79',127',2%,7%,"2,719'","2,664'",Leashed,Unknown
Upper Cherry Tank,"1.6
    mi",DIFFICULT,32.501426,-110.85905,https://www.mtbproject.com/trail/7017455/upper-cherry-tank,"Catalina, AZ",#528,3.2 (5),,,,,425',23',5%,23%,"3,928'","3,527'",Off-leash,Unknown
Eagle Scout,"0.7
    mi",INTERMEDIATE,35.204465,-114.096767,https://www.mtbproject.com/trail/7017620/eagle-scout,"Kingman, AZ",#529,3.3 (4),,,,,17',72',3%,5%,"3,679'","3,608'",Unknown,Unknown
Lower Hawes,"0.3
    mi",INTERMEDIATE,33.495654,-111.677936,https://www.mtbproject.com/trail/547401/lower-hawes,"Fountain Hills, AZ",#530,3.3 (4),USFS - Tonto National Forest Office,http://www.fs.usda.gov/tonto/,,,2',39',2%,4%,"1,597'","1,561'",Unknown,Unknown
Lizard Trail,"1.8
    mi",INTERMEDIATE,33.441804,-111.932447,https://www.mtbproject.com/trail/7022405/lizard-trail,"Tempe Junction, AZ",#531,2.8 (12),City of Tempe - Parks,http://www.tempe.gov/city-hall/community-services/parks,,,147',132',3%,8%,"1,301'","1,172'",Unknown,Unknown
Bell Rock Bypass,"0.8
    mi",INTERMEDIATE,34.797669,-111.763034,https://www.mtbproject.com/trail/4922995/bell-rock-bypass,"Village of Oak Creek (Big Park), AZ",#532,2.8 (13),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,113',45',4%,8%,"4,385'","4,273'",Unknown,Unknown
Highland Trail,"2.5
    mi",INTERMEDIATE,35.137246,-111.696325,https://www.mtbproject.com/trail/7016896/highland-trail,"Kachina Village, AZ",#533,3.0 (8),Coconino County and the City of Flagstaff,http://www.flagstaff.az.gov/index.aspx?NID=1379,,,161',183',3%,11%,"7,055'","6,907'",Unknown,Unknown
Chapel Trail,"0.6
    mi",DIFFICULT,34.828011,-111.758012,https://www.mtbproject.com/trail/4915427/chapel-trail,"Sedona, AZ",#534,3.0 (8),,,,,110',98',6%,16%,"4,512'","4,426'",Unknown,Unknown
Yetman Trail,"6.2
    mi",DIFFICULT,32.217334,-111.102961,https://www.mtbproject.com/trail/4881641/yetman-trail,"Tucson Estates, AZ",#535,2.8 (11),,,,,439',746',4%,11%,"3,133'","2,697'",Unknown,Unknown
Gadsden,"6.7
    mi",EASY/INTERMEDIATE,33.323625,-112.392537,https://www.mtbproject.com/trail/7002879/gadsden,"Goodyear, AZ",#536,3.0 (5),Maricopa County Parks,http://www.maricopa.gov/parks/,,,331',373',2%,10%,"1,255'","1,051'",Unknown,Allowed
Paradise Trail,"1.5
    mi",INTERMEDIATE,33.64615,-111.840262,https://www.mtbproject.com/trail/7020338/paradise-trail,"Scottsdale, AZ",#537,3.0 (7),,,,,6',322',4%,13%,"1,968'","1,653'",Unknown,Not Allowed
Big Wash Connector Trail,"2.4
    mi",EASY/INTERMEDIATE,32.450552,-110.944722,https://www.mtbproject.com/trail/7034288/big-wash-connector-trail,"Catalina, AZ",#538,2.9 (8),,,,,137',2',1%,2%,"2,961'","2,826'",Unknown,Unknown
Fenceline Trail,"1.1
    mi",EASY,33.480947,-111.68312,https://www.mtbproject.com/trail/545362/fenceline-trail,"Fountain Hills, AZ",#539,3.0 (6),USFS - Tonto National Forest Office,http://www.fs.usda.gov/tonto/,,,16',21',1%,2%,"1,595'","1,574'",Unknown,Unknown
Levee,"1.6
    mi",EASY,33.458594,-111.617722,https://www.mtbproject.com/trail/4367141/levee,"Apache Junction, AZ",#540,3.0 (6),Maricopa County Parks,http://www.maricopa.gov/parks/,,,0',68',1%,3%,"1,822'","1,754'",Unknown,Allowed
Loop off Trail 100 East,"2.6
    mi",INTERMEDIATE/DIFFICULT,33.560234,-112.005255,https://www.mtbproject.com/trail/7007745/loop-off-trail-100-east,"Paradise Valley, AZ",#541,3.0 (5),City of Phoenix - Trails and Desert Preserves,http://phoenix.gov/recreation/rec/parks/preserves/index.html,,,166',162',2%,7%,"1,704'","1,549'",Unknown,Unknown
Arizona Cypress Trail,"1.6
    mi",EASY/INTERMEDIATE,34.894129,-111.83091,https://www.mtbproject.com/trail/4942942/arizona-cypress-trail,"West Sedona, AZ",#542,2.8 (9),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,39',83',1%,12%,"4,437'","4,364'",Unknown,Unknown
Trail 100 - West,"1.5
    mi",EASY/INTERMEDIATE,33.597161,-112.065991,https://www.mtbproject.com/trail/4881161/trail-100-west,"Phoenix, AZ",#543,2.8 (9),City of Phoenix - Trails and Desert Preserves,http://phoenix.gov/recreation/rec/parks/preserves/index.html,,,57',148',3%,5%,"1,454'","1,342'",Unknown,Unknown
Potts Creek Trail #327,"3.1
    mi",INTERMEDIATE,34.526958,-112.540849,https://www.mtbproject.com/trail/7011157/potts-creek-trail-327,"Prescott, AZ",#544,3.0 (4),USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,,,258',407',4%,12%,"6,371'","6,091'",Leashed,Unknown
Tabletop,"0.4
    mi",VERY DIFFICULT,34.846215,-111.795508,https://www.mtbproject.com/trail/4969490/tabletop,"West Sedona, AZ",#545,3.0 (4),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,28',36',3%,6%,"4,687'","4,651'",Unknown,Unknown
Junebug,"2.3
    mi",EASY/INTERMEDIATE,32.688423,-110.898729,https://www.mtbproject.com/trail/7024401/junebug,"Oracle, AZ",#546,3.0 (4),,,,,130',68',2%,4%,"3,844'","3,752'",Unknown,Unknown
Ringtail Trail,"2.1
    mi",INTERMEDIATE/DIFFICULT,32.23754,-111.145963,https://www.mtbproject.com/trail/3750726/ringtail-trail,"Fountain Hills, AZ",#547,3.0 (4),Maricopa County Parks,http://www.maricopa.gov/parks/,,,291',189',4%,10%,"1,988'","1,711'",Unknown,Not Allowed
Bobcat,"1.0
    mi",EASY/INTERMEDIATE,33.769266,-112.099929,https://www.mtbproject.com/trail/6425776/bobcat,"Anthem, AZ",#548,3.0 (4),,,,,100',0',2%,3%,"1,676'","1,577'",Leashed,Unknown
Hackamore Trail,"1.7
    mi",EASY,33.758198,-111.843343,https://www.mtbproject.com/trail/7037293/hackamore-trail,"Carefree, AZ",#549,3.0 (4),,,,,26',155',2%,7%,"2,734'","2,588'",Leashed,Not Allowed
Granite Trail #54,"0.8
    mi",EASY/INTERMEDIATE,33.514657,-111.680407,https://www.mtbproject.com/trail/7036837/granite-trail-54,"Fountain Hills, AZ",#550,3.0 (4),USFS - Tonto National Forest Office,http://www.fs.usda.gov/tonto/,,,183',0',5%,12%,"1,512'","1,329'",Leashed,Unknown
Airport Loop South,"3.3
    mi",DIFFICULT,34.852821,-111.795229,https://www.mtbproject.com/trail/4969600/airport-loop-south,"West Sedona, AZ",#551,2.3 (17),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,299',327',4%,13%,"4,723'","4,464'",Unknown,Unknown
Alta Trail,"4.7
    mi",DIFFICULT,33.330313,-112.144153,https://www.mtbproject.com/trail/7020541/alta-trail,"Laveen, AZ",#552,3.0 (3),,,,,"1,454'","1,236'",11%,32%,"2,421'","1,341'",Unknown,Allowed
Little Granite Mountain Trail #37,"4.2
    mi",DIFFICULT,34.588089,-112.573898,https://www.mtbproject.com/trail/7012657/little-granite-mountain-trail-37,"Williamson, AZ",#553,3.0 (3),USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,,,781',878',8%,24%,"6,550'","5,853'",Leashed,Unknown
Full Loop (Green),"9.5
    mi",EASY/INTERMEDIATE,34.610767,-112.465723,https://www.mtbproject.com/trail/7038975/full-loop-green,"Prescott, AZ",#554,3.0 (3),,,,,594',584',2%,12%,"5,449'","5,255'",Leashed,Unknown
Old Jeep Trail,"1.6
    mi",DIFFICULT,33.616673,-111.819969,https://www.mtbproject.com/trail/7002021/old-jeep-trail,"Fountain Hills, AZ",#555,3.0 (3),City of Scottsdale,http://www.scottsdaleaz.gov/preserve,,,161',241',5%,12%,"2,138'","1,929'",Unknown,Not Allowed
Balanced Rock Trail,"1.6
    mi",EASY,33.770005,-111.80821,https://www.mtbproject.com/trail/4856997/balanced-rock-trail,"Carefree, AZ",#556,3.0 (3),Cave Creek Bicycle Association,https://www.mtbproject.com/club/31765/cave-creek-bicycle-association,City of Scottsdale,http://www.scottsdaleaz.gov/preserve,123',12',2%,4%,"2,870'","2,748'",Unknown,Unknown
Lower Oldham Trail,"2.4
    mi",INTERMEDIATE/DIFFICULT,35.225272,-111.630847,https://www.mtbproject.com/trail/768401/lower-oldham-trail,"Flagstaff, AZ",#557,3.0 (3),Flagstaff Biking Organization,https://www.mtbproject.com/club/910893/flagstaff-biking-organization,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,544',114',5%,14%,"7,579'","7,065'",Unknown,Unknown
Upper Hawes Loop Trail,"1.4
    mi",VERY DIFFICULT,33.48793,-111.649774,https://www.mtbproject.com/trail/7035183/upper-hawes-loop-trail,"Apache Junction, AZ",#558,3.0 (3),USFS - Tonto National Forest Office,http://www.fs.usda.gov/tonto/,,,314',280',8%,23%,"2,315'","2,002'",Leashed,Unknown
Flight Path,"1.0
    mi",DIFFICULT,32.171669,-111.012204,https://www.mtbproject.com/trail/7045616/flight-path,"Drexel Heights, AZ",#559,3.0 (3),Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,Pima County Parks and Recreation,http://webcms.pima.gov/cms/One.aspx?portalId=169&pageId=41889,83',86',3%,9%,"2,630'","2,557'",Unknown,Unknown
Copper Creek Rd FR53,"2.6
    mi",INTERMEDIATE,34.454598,-112.536717,https://www.mtbproject.com/trail/7012691/copper-creek-rd-fr53,"Prescott, AZ",#560,3.0 (3),USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,,,692',3',5%,14%,"6,074'","5,381'",Unknown,Unknown
Wilson Mountain Trail,"0.5
    mi",EASY/INTERMEDIATE,34.886083,-111.741636,https://www.mtbproject.com/trail/4920316/wilson-mountain-trail,"Sedona, AZ",#561,3.0 (3),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,55',13',3%,4%,"4,586'","4,543'",Unknown,Unknown
Exposure,"0.9
    mi",INTERMEDIATE/DIFFICULT,33.313717,-112.462183,https://www.mtbproject.com/trail/7037289/exposure,"Buckeye, AZ",#562,3.0 (3),,,,,148',173',7%,16%,"1,263'","1,131'",Unknown,Unknown
Levee Trail,"1.0
    mi",EASY,33.643338,-111.856647,https://www.mtbproject.com/trail/7020336/levee-trail,"Fountain Hills, AZ",#563,3.0 (3),,,,,225',0',4%,7%,"1,926'","1,701'",Unknown,Not Allowed
Hello Mexico,"4.2
    mi",INTERMEDIATE,32.342504,-112.877942,https://www.mtbproject.com/trail/7025777/hello-mexico,"Ajo, AZ",#564,3.0 (3),BLM Arizona - Hassayampa Field Office,http://www.blm.gov/az/st/en/fo/hassayampa_field_office.html,,,78',173',1%,4%,"1,953'","1,817'",Leashed,Unknown
Castle Rock Trail: North Loop Segment,"1.8
    mi",DIFFICULT,35.226666,-114.092617,https://www.mtbproject.com/trail/7040862/castle-rock-trail-north-loop-segment,"Kingman, AZ",#565,3.0 (3),,,,,307',267',6%,18%,"4,254'","3,972'",Unknown,Unknown
Roman's Rise,"0.4
    mi",INTERMEDIATE,33.310248,-112.462103,https://www.mtbproject.com/trail/7032913/romans-rise,"Goodyear, AZ",#566,3.0 (3),West Valley Trail Alliance,https://www.mtbproject.com/club/7000163/west-valley-trail-alliance,,,66',4',3%,9%,"1,108'","1,044'",Leashed,Unknown
Piece of Pie,"0.8
    mi",INTERMEDIATE,32.349615,-112.894525,https://www.mtbproject.com/trail/7022181/piece-of-pie,"Ajo, AZ",#567,3.0 (3),BLM Arizona - Hassayampa Field Office,http://www.blm.gov/az/st/en/fo/hassayampa_field_office.html,,,30',32',1%,5%,"2,049'","2,022'",Leashed,Unknown
Rita's Upper By-Pass,"0.2
    mi",INTERMEDIATE,33.311479,-112.459408,https://www.mtbproject.com/trail/7032912/ritas-upper-by-pass,"Buckeye, AZ",#568,3.0 (3),West Valley Trail Alliance,https://www.mtbproject.com/club/7000163/west-valley-trail-alliance,,,0',22',2%,4%,"1,072'","1,050'",Leashed,Unknown
AZT: Segment 11 - Mogollon Rim to Flagstaff,"138.4
    mi",INTERMEDIATE,34.242726,-111.322859,https://www.mtbproject.com/trail/7025883/azt-segment-11-mogollon-rim-to-flagstaff,"Payson, AZ",#569,3.0 (1),,,,,"14,197'","12,037'",4%,66%,"7,714'","4,383'",Unknown,Unknown
Crusty,"0.4
    mi",INTERMEDIATE/DIFFICULT,34.86558,-111.77676,https://www.mtbproject.com/trail/4920672/crusty,"Sedona, AZ",#570,2.8 (6),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,0',82',3%,7%,"4,362'","4,280'",Unknown,Unknown
Sonoran Trail,"2.6
    mi",INTERMEDIATE/DIFFICULT,33.64425,-111.775287,https://www.mtbproject.com/trail/7020345/sonoran-trail,"Fountain Hills, AZ",#571,3.0 (2),,,,,749',399',8%,28%,"2,752'","2,171'",Unknown,Unknown
AZT: Segment 14 - Jacob Lake to UT Border,"26.4
    mi",INTERMEDIATE,36.736733,-112.188754,https://www.mtbproject.com/trail/7025886/azt-segment-14-jacob-lake-to-ut-border,"Fredonia, AZ",#572,3.0 (2),,,,,686',"3,207'",3%,14%,"7,640'","5,000'",Unknown,Unknown
Huachuca Canyon Road,"4.3
    mi",INTERMEDIATE,31.542919,-110.372352,https://www.mtbproject.com/trail/7021852/huachuca-canyon-road,"Sierra Vista, AZ",#573,3.0 (2),,,,,"1,070'",2',5%,15%,"6,255'","5,187'",Unknown,Unknown
BCT: Black Canyon to Soap Creek,"5.4
    mi",DIFFICULT,34.045632,-112.157771,https://www.mtbproject.com/trail/7045364/bct-black-canyon-to-soap-creek,"Black Canyon City, AZ",#574,3.0 (2),,,,,586',527',4%,12%,"2,266'","1,897'",Unknown,Allowed
Kiwanis Trail,"1.0
    mi",VERY DIFFICULT,33.328256,-112.073653,https://www.mtbproject.com/trail/7024779/kiwanis-trail,"Laveen, AZ",#575,3.0 (2),City of Phoenix - Trails and Desert Preserves,http://phoenix.gov/recreation/rec/parks/preserves/index.html,,,0',411',7%,15%,"2,000'","1,589'",Leashed,Allowed
Arizona Trail - Highway 89 to Walnut Canyon,"11.7
    mi",INTERMEDIATE,35.250827,-111.563949,https://www.mtbproject.com/trail/2918142/arizona-trail-highway-89-to-walnut-canyon,"Flagstaff, AZ",#576,3.0 (2),Flagstaff Biking Organization,https://www.mtbproject.com/club/910893/flagstaff-biking-organization,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,663',855',2%,12%,"6,943'","6,483'",Unknown,Unknown
